,Pos. snake,Pos. apple,Decision
0,"[(18, 2)]","(2, 2)",right
1,"[(17, 2)]","(2, 2)",right
2,"[(16, 2)]","(2, 2)",right
3,"[(15, 2)]","(2, 2)",right
4,"[(14, 2)]","(2, 2)",right
5,"[(13, 2)]","(2, 2)",right
6,"[(12, 2)]","(2, 2)",right
7,"[(11, 2)]","(2, 2)",right
8,"[(10, 2)]","(2, 2)",right
9,"[(9, 2)]","(2, 2)",right
10,"[(8, 2)]","(2, 2)",right
11,"[(7, 2)]","(2, 2)",right
12,"[(6, 2)]","(2, 2)",right
13,"[(5, 2)]","(2, 2)",right
14,"[(4, 2)]","(2, 2)",right
15,"[(3, 2)]","(2, 2)",right
16,"[(2, 2)]","(2, 2)",right
17,"[(1, 2)]","(2, 2)",right
18,"[(0, 2)]","(2, 2)",right
