,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(7, 5)]","(8, 6)",,4,2.0,7.0,1.0,-1.0,0.0,1.0,0.0
1,0,"[(7, 6)]","(8, 6)",,5,2.0,7.0,1.0,-1.0,0.0,1.0,0.0
2,0,"[(7, 7)]","(8, 6)",,6,2.0,7.0,1.0,0.0,0.0,1.0,0.0
3,0,"[(7, 8)]","(8, 6)",,7,2.0,7.0,1.0,1.0,0.0,1.0,0.0
4,0,"[(7, 9)]","(8, 6)",,7,0.0,7.0,1.0,1.0,0.0,1.0,0.0
5,0,"[(7, 10)]","(8, 6)",,7,1.0,7.0,1.0,1.0,0.0,1.0,0.0
6,death,death,death,death,death,,,,,,,
7,1,"[(9, 1)]","(9, 6)",,0,0.0,9.0,0.0,-1.0,0.0,1.0,0.0
8,1,"[(8, 1)]","(9, 6)",left,1,0.0,9.0,0.0,-1.0,0.0,1.0,0.0
9,1,"[(8, 2)]","(9, 6)",right,1,8.0,1.0,1.0,-1.0,-1.0,0.0,0.0
10,1,"[(7, 2)]","(9, 6)",left,2,1.0,8.0,1.0,-1.0,0.0,1.0,0.0
11,1,"[(6, 2)]","(9, 6)",,2,7.0,2.0,1.0,-1.0,-1.0,0.0,0.0
12,1,"[(5, 2)]","(9, 6)",,3,6.0,2.0,1.0,-1.0,-1.0,0.0,0.0
13,1,"[(4, 2)]","(9, 6)",,4,5.0,2.0,1.0,-1.0,-1.0,0.0,0.0
14,1,"[(4, 1)]","(9, 6)",left,5,4.0,2.0,1.0,-1.0,-1.0,0.0,0.0
15,1,"[(5, 1)]","(9, 6)",left,5,1.0,5.0,1.0,-1.0,0.0,-1.0,0.0
16,1,"[(5, 2)]","(9, 6)",left,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
17,1,"[(5, 3)]","(9, 6)",,2,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
18,1,"[(4, 3)]","(9, 6)",left,3,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
19,1,"[(3, 3)]","(9, 6)",,5,4.0,3.0,1.0,-1.0,-1.0,0.0,0.0
20,1,"[(2, 3)]","(9, 6)",,6,3.0,3.0,1.0,-1.0,-1.0,0.0,0.0
21,1,"[(1, 3)]","(9, 6)",,7,2.0,2.0,1.0,-1.0,-1.0,0.0,0.0
22,1,"[(0, 3)]","(9, 6)",,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
23,1,"[(0, 2)]","(9, 6)",left,9,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
24,1,"[(0, 1)]","(9, 6)",,1,0.0,9.0,1.0,-1.0,0.0,-1.0,0.0
25,1,"[(0, 0)]","(9, 6)",,0,0.0,9.0,1.0,-1.0,0.0,-1.0,0.0
26,1,"[(-1, 0)]","(9, 6)",right,9,0.0,9.0,1.0,-1.0,0.0,-1.0,0.0
27,death,death,death,death,death,,,,,,,
28,2,"[(0, 7)]","(5, 2)",left,9,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
29,2,"[(1, 7)]","(5, 2)",left,6,0.0,9.0,1.0,1.0,0.0,-1.0,0.0
30,2,"[(1, 8)]","(5, 2)",left,1,8.0,5.0,1.0,1.0,1.0,0.0,0.0
31,2,"[(2, 8)]","(5, 2)",right,1,6.0,1.0,1.0,1.0,0.0,1.0,0.0
32,2,"[(2, 9)]","(5, 2)",left,2,7.0,5.0,1.0,1.0,1.0,0.0,0.0
33,2,"[(2, 10)]","(5, 2)",,2,6.0,2.0,1.0,1.0,0.0,1.0,0.0
34,death,death,death,death,death,,,,,,,
35,3,"[(1, 7)]","(3, 6)",right,0,6.0,0.0,1.0,1.0,0.0,1.0,0.0
36,3,"[(2, 7)]","(3, 6)",,1,8.0,5.0,1.0,1.0,1.0,0.0,0.0
37,3,"[(2, 6)]","(3, 6)",right,2,7.0,4.0,1.0,1.0,1.0,0.0,0.0
38,3,"[(2, 5)]","(3, 6)",,3,2.0,7.0,1.0,0.0,0.0,-1.0,0.0
39,3,"[(1, 5)]","(3, 6)",right,2,2.0,7.0,1.0,-1.0,0.0,-1.0,0.0
40,3,"[(1, 6)]","(3, 6)",right,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
41,3,"[(1, 7)]","(3, 6)",,1,4.0,1.0,1.0,0.0,0.0,1.0,0.0
42,3,"[(2, 7)]","(3, 6)",right,1,5.0,1.0,1.0,1.0,0.0,1.0,0.0
43,3,"[(2, 6)]","(3, 6)",right,2,7.0,4.0,1.0,1.0,1.0,0.0,0.0
44,3,"[(1, 6)]","(3, 6)",right,3,2.0,7.0,1.0,0.0,0.0,-1.0,0.0
45,3,"[(1, 7)]","(3, 6)",right,8,1.0,1.0,1.0,0.0,-1.0,0.0,0.0
46,3,"[(0, 7)]","(3, 6)",left,1,5.0,1.0,1.0,1.0,0.0,1.0,0.0
47,3,"[(0, 8)]","(3, 6)",right,9,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
48,3,"[(-1, 8)]","(3, 6)",left,0,7.0,0.0,1.0,1.0,0.0,1.0,0.0
49,death,death,death,death,death,,,,,,,
50,4,"[(1, 1)]","(8, 9)",,7,2.0,1.0,1.0,-1.0,-1.0,0.0,0.0
51,4,"[(1, 2)]","(8, 9)",right,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
52,4,"[(1, 3)]","(8, 9)",,1,0.0,1.0,1.0,-1.0,0.0,1.0,0.0
53,4,"[(1, 4)]","(8, 9)",,1,1.0,1.0,1.0,-1.0,0.0,1.0,0.0
54,4,"[(2, 4)]","(8, 9)",right,1,2.0,1.0,1.0,-1.0,0.0,1.0,0.0
55,4,"[(2, 3)]","(8, 9)",right,2,7.0,1.0,1.0,-1.0,1.0,0.0,0.0
56,4,"[(1, 3)]","(8, 9)",right,0,2.0,7.0,1.0,-1.0,0.0,-1.0,0.0
57,4,"[(1, 4)]","(8, 9)",right,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
58,4,"[(0, 4)]","(8, 9)",left,1,2.0,1.0,1.0,-1.0,0.0,1.0,0.0
59,4,"[(0, 3)]","(8, 9)",left,9,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
60,4,"[(0, 2)]","(8, 9)",,2,0.0,9.0,1.0,-1.0,0.0,-1.0,0.0
61,4,"[(-1, 2)]","(8, 9)",right,1,0.0,9.0,1.0,-1.0,0.0,-1.0,0.0
62,death,death,death,death,death,,,,,,,
63,5,"[(8, 8)]","(8, 5)",right,1,8.0,7.0,0.0,1.0,-1.0,0.0,0.0
64,5,"[(9, 8)]","(8, 5)",right,8,1.0,8.0,0.0,1.0,0.0,1.0,0.0
65,5,"[(10, 8)]","(8, 5)",,9,0.0,0.0,-1.0,1.0,1.0,0.0,0.0
66,death,death,death,death,death,,,,,,,
67,6,"[(2, 8)]","(3, 4)",,1,8.0,6.0,1.0,1.0,1.0,0.0,0.0
68,6,"[(2, 9)]","(3, 4)",left,2,7.0,5.0,1.0,1.0,1.0,0.0,0.0
69,6,"[(2, 10)]","(3, 4)",,2,6.0,2.0,1.0,1.0,0.0,1.0,0.0
