,Pos. snake,Pos. apple,Decision
0,"[(3, 15)]","(87, 40)",
1,"[(3, 16)]","(87, 40)",
2,"[(4, 16)]","(87, 40)",right
3,"[(5, 16)]","(87, 40)",
4,"[(6, 16)]","(87, 40)",
5,"[(6, 15)]","(87, 40)",right
6,"[(5, 15)]","(87, 40)",right
7,"[(5, 16)]","(87, 40)",right
8,"[(5, 17)]","(87, 40)",
9,"[(4, 17)]","(87, 40)",left
10,"[(3, 17)]","(87, 40)",
11,"[(3, 18)]","(87, 40)",right
12,"[(4, 18)]","(87, 40)",right
13,"[(4, 17)]","(87, 40)",right
14,"[(4, 16)]","(87, 40)",
15,"[(4, 15)]","(87, 40)",
16,"[(5, 15)]","(87, 40)",left
17,"[(5, 14)]","(87, 40)",right
18,"[(5, 13)]","(87, 40)",
19,"[(4, 13)]","(87, 40)",right
20,"[(4, 14)]","(87, 40)",right
21,"[(3, 14)]","(87, 40)",left
22,"[(3, 15)]","(87, 40)",right
23,"[(4, 15)]","(87, 40)",right
24,"[(4, 14)]","(87, 40)",right
25,"[(4, 13)]","(87, 40)",
26,"[(4, 12)]","(87, 40)",
27,"[(3, 12)]","(87, 40)",right
28,"[(3, 13)]","(87, 40)",right
29,"[(4, 13)]","(87, 40)",right
30,"[(5, 13)]","(87, 40)",
31,"[(5, 14)]","(87, 40)",left
32,"[(4, 14)]","(87, 40)",left
33,"[(3, 14)]","(87, 40)",
34,"[(3, 13)]","(87, 40)",left
35,"[(3, 12)]","(87, 40)",
36,"[(3, 11)]","(87, 40)",
37,"[(4, 11)]","(87, 40)",left
38,"[(4, 10)]","(87, 40)",right
39,"[(5, 10)]","(87, 40)",left
40,"[(6, 10)]","(87, 40)",
41,"[(6, 11)]","(87, 40)",left
42,"[(6, 12)]","(87, 40)",
43,"[(5, 12)]","(87, 40)",left
44,"[(5, 13)]","(87, 40)",right
45,"[(4, 13)]","(87, 40)",left
46,"[(4, 14)]","(87, 40)",right
47,"[(4, 15)]","(87, 40)",
48,"[(5, 15)]","(87, 40)",right
49,"[(5, 16)]","(87, 40)",left
50,"[(4, 16)]","(87, 40)",left
51,"[(3, 16)]","(87, 40)",
52,"[(3, 15)]","(87, 40)",left
53,"[(2, 15)]","(87, 40)",right
54,"[(2, 14)]","(87, 40)",left
55,"[(1, 14)]","(87, 40)",right
56,"[(1, 13)]","(87, 40)",left
57,"[(2, 13)]","(87, 40)",left
58,"[(2, 12)]","(87, 40)",right
59,"[(2, 11)]","(87, 40)",
60,"[(1, 11)]","(87, 40)",right
61,"[(0, 11)]","(87, 40)",
62,"[(0, 12)]","(87, 40)",right
63,"[(1, 12)]","(87, 40)",right
64,"[(1, 13)]","(87, 40)",left
65,"[(1, 14)]","(87, 40)",
66,"[(2, 14)]","(87, 40)",right
67,"[(2, 13)]","(87, 40)",right
68,"[(1, 13)]","(87, 40)",right
69,"[(1, 14)]","(87, 40)",right
70,"[(2, 14)]","(87, 40)",right
71,"[(3, 14)]","(87, 40)",
72,"[(3, 15)]","(87, 40)",left
73,"[(2, 15)]","(87, 40)",left
74,"[(1, 15)]","(87, 40)",
75,"[(1, 14)]","(87, 40)",left
76,"[(0, 14)]","(87, 40)",right
77,"[(0, 13)]","(87, 40)",left
