,Pos. snake,Pos. apple,Decision
0,"[(16, 15)]","(4, 15)",right
1,"[(15, 15)]","(4, 15)",right
2,"[(14, 15)]","(4, 15)",right
3,"[(13, 15)]","(4, 15)",right
4,"[(12, 15)]","(4, 15)",right
5,"[(11, 15)]","(4, 15)",right
6,"[(10, 15)]","(4, 15)",right
7,"[(9, 15)]","(4, 15)",right
8,"[(8, 15)]","(4, 15)",right
9,"[(7, 15)]","(4, 15)",right
10,"[(6, 15)]","(4, 15)",right
11,"[(5, 15)]","(4, 15)",right
12,"[(4, 15)]","(0, 2)",right
13,"[(3, 15)]","(0, 2)",right
14,"[(2, 15)]","(0, 2)",right
15,"[(1, 15)]","(0, 2)",right
16,"[(0, 15)]","(0, 2)",right
